,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1671729377.766, 134.26, 1980, 9251, 51, 5, 0, NVIDIA GeForce RTX 3080 Ti,1671729377.7326102,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1212789,1222177,4033669,1352083,1228983,1214785,1560041,4033812,1390938,1240668,4020698,1203944,1259768,1204187,1391413,4017924
1,1671729379.091, 115.72, 1710, 9251, 50, 5, 0, NVIDIA GeForce RTX 3080 Ti,1671729379.056891,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200024,1200050,4063017,1200070,1199957,1200034,1200024,4136480,1200100,1224671,4000085,1200165,1200035,1200133,1200011,4007593
2,1671729380.352, 110.81, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729380.3209124,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200059,1611761,1200131,1200001,1299310,1200218,1200086,4011473,1200174,1298377,1199848,1200083,1296576,1200161,1283104,4010491
3,1671729381.613, 110.86, 1710, 9251, 50, 1, 0, NVIDIA GeForce RTX 3080 Ti,1671729381.580853,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1560155,2152488,1200002,1200013,1273678,1200067,1200068,4043307,1201258,1200028,1200508,1200728,1200010,1271515,1200077,4174257
4,1671729382.875, 110.74, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729382.8448203,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200010,1203004,1374664,1200061,1200202,1200011,1200034,4058446,1200118,1377760,1200103,1200156,1237209,1200957,1454960,4006808
5,1671729384.127, 110.74, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729384.096903,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1304201,1200242,1200233,1200313,1200204,1201185,1200122,4065104,1202310,1200032,1200038,1200165,1200109,1200004,1200920,4005534
6,1671729385.393, 110.79, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729385.3609114,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200023,1200634,1200286,1200162,1200016,1201485,1200020,4041099,1200583,1200116,1200711,1200456,1200304,1200160,1200740,4065997
7,1671729386.645, 110.85, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729386.6128743,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1829817,1200251,1200122,1240820,1201498,1200191,1200236,4068015,1201379,1199829,1200013,1201761,1273779,1200275,1200630,4012233
8,1671729387.908, 110.78, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729387.876888,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200006,1200087,1200000,1319083,1221903,1200173,1200075,4169511,1259950,1200046,1200087,1200230,1200182,1200428,1200802,4003143
9,1671729389.179, 110.83, 1710, 9251, 50, 1, 0, NVIDIA GeForce RTX 3080 Ti,1671729389.1488364,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200008,1200033,1200046,1200330,1200274,1200125,1286777,4101972,1200091,1201154,1200055,1200069,1201157,1200007,1200055,4061159
10,1671729390.432, 110.89, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729390.4008646,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200009,1200681,1200050,1200557,2326382,1200019,1200042,4168906,1200034,1200005,1200211,1200083,1201677,1200061,1200113,4062679
11,1671729391.707, 111.29, 1710, 9251, 50, 1, 0, NVIDIA GeForce RTX 3080 Ti,1671729391.6768162,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1206167,1200031,1411258,1200121,1200620,1200005,1550437,4123588,1200860,1200099,1200482,1199978,1203919,1199982,1201177,4039956
12,1671729392.96, 111.31, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729392.9288597,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,2132842,1200155,1200096,1199997,1200030,1200658,1200086,4036014,1200202,1200721,1200479,1200035,1206726,1200074,1280458,4005551
13,1671729394.213, 110.75, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729394.1808925,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1841708,1200155,1200091,1200352,1200064,1200003,1200121,4126935,1199427,1201323,1200221,1200063,1200269,1199885,1200135,4001357
14,1671729395.472, 110.75, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729395.4409323,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200159,1200055,1200152,1200185,1200134,1201163,1200145,4155189,1200015,1269370,1202462,1200001,1206195,1200000,1200318,4007518
15,1671729396.445, 99.43, 360, 810, 48, 0, 1, NVIDIA GeForce RTX 3080 Ti,1671729396.4134445,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1269683,2161402,1200058,1200025,1270255,1200024,1200035,4031337,3506378,1416934,1213214,1202139,1238300,1210235,1200113,4001349
16,1671729397.444, 100.49, 1710, 9251, 50, 6, 0, NVIDIA GeForce RTX 3080 Ti,1671729397.410767,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,3969763,1252627,1240499,1205828,1235372,1209915,1216792,4040186,4040726,1445250,1206109,1201562,1330720,1257863,1200044,4027491
17,1671729398.77, 111.09, 1710, 9251, 50, 5, 0, NVIDIA GeForce RTX 3080 Ti,1671729398.7370458,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,4045423,1200041,1200327,1200167,1200003,1223544,1200020,4082558,4066244,1200203,1200097,1200491,1200105,1200220,1201488,4000955
18,1671729400.046, 110.87, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729400.0128915,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,3999796,1469521,1200078,1200510,1207309,1201238,1200070,4042863,4119324,1200223,1200151,1200008,1200031,3345837,1200020,4004519
19,1671729401.37, 110.76, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729401.3369184,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1587166,1340346,1200122,4231134,1200004,1200004,1200029,4032217,1200026,2504290,1200029,4021961,1200090,1200033,1200058,4004381
20,1671729402.682, 110.75, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729402.649017,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200005,2080716,1200291,4003293,1200009,1232897,1200149,4060715,1200010,1200256,1201927,4020002,1200139,1200181,1200162,4003588
21,1671729403.997, 110.81, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729403.9648962,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200031,1248275,1284102,3999646,1200030,1200048,1200078,4092838,1200017,1202980,1200031,4035863,1235922,1203349,1200055,3996634
22,1671729405.307, 111.10, 1710, 9251, 50, 27, 1, NVIDIA GeForce RTX 3080 Ti,1671729405.2728827,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200011,1200024,1200006,3999963,1503542,1200617,1200000,4031928,4014317,1394180,1235995,4038816,1200015,1200030,1200150,4011627
23,1671729406.627, 159.68, 1995, 9251, 51, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729406.5929027,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1299184,1200053,1200008,4075797,1200125,1199995,1200141,4139875,1200281,1201673,1201327,4161281,1200011,1200290,1201738,4001584
24,1671729407.934, 125.48, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729407.9009068,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1201053,1200050,1203834,3999976,1255425,1200144,1200031,4069115,1200375,1200160,1200058,4071389,1200039,1200064,1200845,4029968
25,1671729409.251, 110.63, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729409.2169106,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1197000,1389730,1531519,4002501,1200192,1202197,1200105,4025277,2042234,1200231,1233153,4000000,1273473,1200016,1200015,4033076
26,1671729410.562, 134.16, 1995, 9251, 51, 1, 0, NVIDIA GeForce RTX 3080 Ti,1671729410.5288508,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200053,1200056,1202134,3999265,1200004,1270862,1472431,4012535,1200069,1200072,1200035,4056434,1203007,1200009,1238257,4005152
27,1671729411.874, 119.15, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729411.8408546,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200181,1200074,1200023,4001755,1200178,1204257,1296575,3997892,1200749,1200046,1272001,4000000,1200383,1200070,1200003,4101427
28,1671729413.186, 110.38, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729413.1529403,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200006,1200010,1492530,4030740,1205838,1200058,1200007,4096413,1199998,1200076,1262578,4060257,1232185,1230354,1420320,4093021
29,1671729414.497, 160.63, 1995, 9251, 51, 1, 0, NVIDIA GeForce RTX 3080 Ti,1671729414.4649286,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1199995,1200114,1200799,4038870,1566222,1200018,1200053,4000005,1200438,1200654,1209349,4033875,1201228,1200068,1199891,4054816
30,1671729415.81, 130.28, 1710, 9251, 50, 1, 0, NVIDIA GeForce RTX 3080 Ti,1671729415.7769966,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200040,1200458,1200057,4012617,1200019,1207907,1200159,4009121,1391868,1200161,1200144,4006976,1200073,1200005,1200046,4150499
31,1671729417.117, 110.42, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729417.084863,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200090,1200001,1200085,3998923,1200217,1200186,1200066,4006591,1200248,1201408,1200179,4050750,1200060,1200040,1200026,4000000
32,1671729418.426, 157.67, 1995, 9251, 51, 1, 0, NVIDIA GeForce RTX 3080 Ti,1671729418.3929157,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200007,1346052,1200000,4044731,1200130,1200223,1200036,4000618,1200092,1200011,1200389,4040199,1200025,1294338,1200017,4023430
33,1671729419.738, 130.26, 1710, 9251, 51, 2, 0, NVIDIA GeForce RTX 3080 Ti,1671729419.7049108,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1202142,1238654,1200259,4000427,1200262,1200314,1200014,4007690,1200040,1200200,1234698,4106562,1200105,1200007,1200019,4049722
34,1671729421.057, 110.49, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729421.0208676,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200083,1200288,1200053,4000040,1675175,1200030,1200018,3999995,1200007,1200031,1200000,4061631,1200055,1200179,1200023,4033428
35,1671729422.374, 154.21, 1995, 9251, 52, 1, 0, NVIDIA GeForce RTX 3080 Ti,1671729422.3408582,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200017,1200028,1200022,4084741,1200057,1200498,1200132,4027588,1297346,1279439,1200202,4034827,1201591,1200261,1199995,4109998
36,1671729423.671, 132.30, 1710, 9251, 51, 1, 0, NVIDIA GeForce RTX 3080 Ti,1671729423.6409972,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1347957,1199996,1200113,4053609,1200116,1236530,1221713,4003236,1200163,1200024,1200029,4017255,1200032,1200015,1324251,4004147
37,1671729424.974, 110.40, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729424.940875,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200040,1200092,1200006,4173829,1324277,1410078,1200015,4004247,1217018,1200000,1368244,4115212,1200394,1200087,1200016,4055510
38,1671729426.291, 143.30, 1995, 9251, 53, 56, 21, NVIDIA GeForce RTX 3080 Ti,1671729426.2569482,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200008,1201002,1200199,4005964,1200095,1200051,1205874,4000236,4030370,1200004,1343273,3999999,1200077,1505708,1200038,4140146
39,1671729427.605, 134.03, 1995, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729427.5729077,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200111,1200293,1200104,4032344,1200038,1200029,1199993,3999785,1200313,1274765,1200068,4068779,1200289,1200057,1200022,4077259
40,1671729428.91, 119.25, 1710, 9251, 50, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729428.876881,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200088,1200001,1201838,4001823,1199999,1200137,1200011,4007896,1216322,1200013,1200028,4025923,1200103,1200922,1200726,4125176
41,1671729430.234, 116.94, 1710, 9251, 53, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729430.200901,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200097,1200011,1200088,4000055,1200002,1200008,1201535,4008497,1237768,1200941,1216330,3982556,1494880,1308345,1200050,4022651
42,1671729431.55, 134.07, 1995, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729431.516879,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1322016,1200006,1251538,4016013,1200039,1199990,1200017,4045685,1219354,1200091,1200240,4033388,1200185,1201806,1200745,4022973
43,1671729432.865, 119.18, 1710, 9251, 51, 2, 0, NVIDIA GeForce RTX 3080 Ti,1671729432.8330345,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200018,1200114,1372000,3999983,1200017,1200331,1679905,4000436,1200010,1199879,1200062,4040576,1200047,1202346,1465291,4022687
44,1671729434.19, 110.48, 1710, 9251, 50, 4, 0, NVIDIA GeForce RTX 3080 Ti,1671729434.1530545,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200115,1200598,1200155,4229186,1200029,1206328,1350581,4015041,1200366,1200388,1200004,4030743,1200008,1200018,1339749,4001456
45,1671729435.502, 159.97, 1995, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729435.4689212,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200081,1200243,1200025,4105242,1200006,1200019,1200043,4008037,1200027,1200106,1200369,4063745,1199936,1200040,1500115,4061440
46,1671729436.825, 123.62, 1710, 9251, 51, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729436.792796,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200049,1200058,1200020,4003158,1200007,1200099,1200016,4003491,1200051,1200059,1200190,4158226,1200014,1200092,1246414,4042846
47,1671729438.152, 110.42, 1710, 9251, 51, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729438.1208665,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200080,1203233,1200025,3999017,1216990,1285886,1200093,4000771,1200321,1200025,1200233,4062364,1200017,1200005,1200066,4133552
48,1671729439.474, 156.56, 1995, 9251, 52, 1, 0, NVIDIA GeForce RTX 3080 Ti,1671729439.440931,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1199998,1200135,1201447,4006129,1200174,1200016,1361846,4002016,1200027,1234469,1200002,4054622,1200089,1228652,1200071,4051378
49,1671729440.785, 130.38, 1710, 9251, 51, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671729440.752947,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1456271,1200055,1200501,4042309,1199916,1200043,1200042,4075397,1670860,1524774,1210924,4022910,1200209,1199963,1200495,4106940
